date,narration,amount,balance,ref_number
2024-01-02,UPI/CR/8465806302/RAZORPAY,23979.62,148979.62,UPI907343
2024-01-03,NEFT-RAZORPAY-UTRK9Q1UL0B,30537.31,179516.93,NEFTUTRK9Q1UL0B
2024-01-04,RTGS-RAZORPAY-RTGSWCXVS27E,122345.00,301861.93,RTGSRTGSWCXVS27E
2024-01-04,IMPS/170421/RAZORPAY-SETTLEMENT,18498.56,320360.49,IMPS170421
2024-01-05,UPI/CR/2182297262/RAZORPAY,41205.80,361566.29,UPI676773
2024-01-06,NEFT-RAZORPAY-UTRNLQSZZ1N,38073.76,399640.05,NEFTUTRNLQSZZ1N
2024-01-07,IMPS/595481/RAZORPAY-SETTLEMENT,9591.85,409231.90,IMPS595481
2024-01-07,UPI/CR/2063064590/RAZORPAY,26720.15,435952.05,UPI249471
2024-01-08,RTGS-RAZORPAY-RTGS3PH5TFZ7,92982.20,528934.25,RTGSRTGS3PH5TFZ7
2024-01-09,NEFT-RAZORPAY-UTRWBLSAPEF,21630.60,550564.85,NEFTUTRWBLSAPEF
2024-01-10,IMPS/183073/RAZORPAY-SETTLEMENT,47861.36,598426.21,IMPS183073
2024-01-11,UPI/CR/7597372948/RAZORPAY,16149.54,614575.75,UPI252663
2024-01-12,NEFT-RAZORPAY-UTR5AYTCCWC,52265.78,666841.53,NEFTUTR5AYTCCWC
2024-01-13,IMPS/205473/RAZORPAY-SETTLEMENT,13898.39,680739.92,IMPS205473
2024-01-13,NEFT-RAZORPAY-UTRWM2YJZPE,60976.75,741716.67,NEFTUTRWM2YJZPE
2024-01-14,NEFT-RAZORPAY-UTRXYQ1CYDQ,48644.37,790361.04,NEFTUTRXYQ1CYDQ
2024-01-15,NEFT-RAZORPAY-UTRAV4RJMDX,66555.68,856916.72,NEFTUTRAV4RJMDX
2024-01-16,NEFT-RAZORPAY-UTRW32JD4Q5,83194.60,940111.32,NEFTUTRW32JD4Q5
2024-01-17,NEFT-RAZORPAY-UTRX4SXF2YF,50895.52,991006.84,NEFTUTRX4SXF2YF
2024-01-18,IMPS/515805/RAZORPAY-SETTLEMENT,53831.80,1044838.64,IMPS515805
2024-01-18,IMPS/431151/RAZORPAY-SETTLEMENT,36018.37,1080857.01,IMPS431151
2024-01-19,NEFT-RAZORPAY-UTR1Z7QS613,88088.40,1168945.41,NEFTUTR1Z7QS613
2024-01-19,NEFT-RAZORPAY-UTR1Z7QS613,88088.40,1257033.81,NEFTUTR1Z7QS613
2024-01-23,NEFT-RAZORPAY-UTR3TFC09CL,17274.61,1274308.42,NEFTUTR3TFC09CL
2024-01-24,NEFT-RAZORPAY-UTRX8KFUES5,60140.64,1334449.06,NEFTUTRX8KFUES5
2024-01-25,NEFT-RAZORPAY-UTRH7S3110U,60000.00,1394449.06,NEFTUTRH7S3110U
2024-01-26,NEFT-RAZORPAY-UTRXVGHRSSP,0.00,1394449.06,NEFTUTRXVGHRSSP
2024-01-26,NEFT-RAZORPAY-UTRH4VJTUAT,-2251.15,1392197.91,NEFTUTRH4VJTUAT
2024-01-27,IMPS/433632/RAZORPAY-SETTLEMENT,24469.00,1416666.91,IMPS433632
2024-01-27,IMPS/608367/RAZORPAY-SETTLEMENT,24469.00,1441135.91,IMPS608367
2024-01-27,MISC CR 1320075 CLG,24469.00,1465604.91,
2024-01-29,NEFT-OTHERBANK-UTRZZ9911QQ,7350.00,1472954.91,NEFTZZ9911QQ
2024-01-30,MISC CR 3894062 CLG,28139.35,1501094.26,
