settlement_id,payment_id,order_id,amount,fee,gst_on_fee,net_amount,settled_at,status,utr
setl_001,pay_001,ord_001,24500.00,441.00,79.38,23979.62,2024-01-02 11:00:00,processed,
setl_002,pay_002,ord_002,31200.00,561.60,101.09,30537.31,2024-01-03 13:00:00,processed,UTRK9Q1UL0B
setl_003,pay_003,ord_003,125000.00,2250.00,405.00,122345.00,2024-01-04 03:00:00,processed,RTGSWCXVS27E
setl_004,pay_004,ord_004,18900.00,340.20,61.24,18498.56,2024-01-04 21:00:00,processed,
setl_005,pay_005,ord_005,42100.00,757.80,136.40,41205.80,2024-01-05 11:00:00,processed,
setl_006,pay_006,ord_006,38900.00,700.20,126.04,38073.76,2024-01-06 01:00:00,processed,UTRNLQSZZ1N
setl_007,pay_007,ord_007,9800.00,176.40,31.75,9591.85,2024-01-07 03:00:00,processed,
setl_008,pay_008,ord_008,27300.00,491.40,88.45,26720.15,2024-01-07 21:00:00,processed,
setl_009,pay_009,ord_009,95000.00,1710.00,307.80,92982.20,2024-01-08 19:00:00,processed,RTGS3PH5TFZ7
setl_010,pay_010,ord_010,22100.00,397.80,71.60,21630.60,2024-01-09 13:00:00,processed,UTRWBLSAPEF
setl_011,pay_011,ord_011,48900.00,880.20,158.44,47861.36,2024-01-10 15:00:00,processed,
setl_012,pay_012,ord_012,16500.00,297.00,53.46,16149.54,2024-01-11 09:00:00,processed,
setl_013,pay_013,ord_013,53400.00,961.20,173.02,52265.78,2024-01-12 03:00:00,processed,UTR5AYTCCWC
setl_014,pay_014,ord_014,14200.00,255.60,46.01,13898.39,2024-01-13 01:00:00,processed,
setl_015,pay_015,ord_015,62300.00,1121.40,201.85,60976.75,2024-01-13 15:00:00,processed,UTRWM2YJZPE
setl_016,pay_016,ord_016,25000.00,450.00,81.00,24469.00,2024-01-14 09:00:00,processed,UTRXYQ1CYDQ
setl_016,pay_017,ord_017,12000.00,216.00,38.88,11745.12,2024-01-14 09:00:00,processed,UTRXYQ1CYDQ
setl_016,pay_018,ord_018,8000.00,144.00,25.92,7830.08,2024-01-14 09:00:00,processed,UTRXYQ1CYDQ
setl_016,pay_019,ord_019,3500.00,63.00,11.34,3425.66,2024-01-14 09:00:00,processed,UTRXYQ1CYDQ
setl_016,pay_020,ord_020,1200.00,21.60,3.89,1174.51,2024-01-14 09:00:00,processed,UTRXYQ1CYDQ
setl_017,pay_021,ord_021,40000.00,720.00,129.60,39150.40,2024-01-15 07:00:00,processed,UTRAV4RJMDX
setl_017,pay_022,ord_022,20000.00,360.00,64.80,19575.20,2024-01-15 07:00:00,processed,UTRAV4RJMDX
setl_017,pay_023,ord_023,8000.00,144.00,25.92,7830.08,2024-01-15 07:00:00,processed,UTRAV4RJMDX
setl_018,pay_024,ord_024,50000.00,900.00,162.00,48938.00,2024-01-16 09:00:00,processed,UTRW32JD4Q5
setl_018,pay_025,ord_025,35000.00,630.00,113.40,34256.60,2024-01-16 09:00:00,processed,UTRW32JD4Q5
setl_019,pay_026,ord_026,30000.00,540.00,97.20,29362.80,2024-01-16 23:00:00,processed,UTRX4SXF2YF
setl_019,pay_027,ord_027,15000.00,270.00,48.60,14681.40,2024-01-16 23:00:00,processed,UTRX4SXF2YF
setl_019,pay_028,ord_028,7000.00,126.00,22.68,6851.32,2024-01-16 23:00:00,processed,UTRX4SXF2YF
setl_020,pay_029,ord_029,30000.00,540.00,97.20,29362.80,2024-01-18 01:00:00,processed,
